evidence_layer,artifact_or_gate,status,requirement,observed_value,verdict_impact,blocking_reason
input_artifact,wp0_scope_freeze,pass,status=pass,pass,pass,
input_artifact,wp0_5_sample_feasibility,pass,status=pass,pass,pass,
input_artifact,wp1_target_support,pass,status=pass,pass,pass,
input_artifact,wp2_target_controls,pass,status=pass,pass,pass,
input_artifact,wp2_1_full_target_audit,pass,status=pass,pass,pass,
input_artifact,wp3_baseline_diagnostics,pass,status=pass,pass,pass,
input_artifact,wp3_5_vol_scaled_sanity,pass,status=pass,pass,pass,
input_artifact,wp4_logistic_hazard,pass,status=pass,pass,pass,
input_artifact,wp5_calibration_readiness,pass,status=pass,pass,pass,
input_artifact,wp6_risk_validation,pass,status=pass,pass,pass,
final_gate,engineering_gate,pass,pass or explicit defer for holdout and promotion gates,pass,pass,
final_gate,causality_gate,pass,pass or explicit defer for holdout and promotion gates,pass,pass,
final_gate,historical_validation_gate,pass,pass or explicit defer for holdout and promotion gates,pass,pass,
final_gate,calibration_readiness_gate,pass,pass or explicit defer for holdout and promotion gates,pass,pass,
final_gate,risk_validation_gate,pass,pass or explicit defer for holdout and promotion gates,pass,pass,
final_gate,prospective_holdout_readiness_gate,defer_or_insufficient,pass or explicit defer for holdout and promotion gates,defer_or_insufficient,defer,
final_gate,decision_support_promotion_gate,DEFER,pass or explicit defer for holdout and promotion gates,DEFER,defer,
boundary,leakage_violation_count_total,pass,0,0,pass,
boundary,boundary_violation_count_total,pass,0,0,pass,
prospective_holdout,prospective_holdout_rows_evaluated,pass,0 unless explicitly authorized,0,defer,
